Player;Squad;Nation;Pos;Age;MP;Min;Gls;G-PK;Ast;xG;xAG;Gls/90;G-PK/90;Ast/90;xG/90;xAG/90;Competition;Sh;Sh/90;SoT/90;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xAG;TklW/90;Blocks/90;Int/90;Tkl+Int/90;Clr/90;Touches/90;Dribbles/90;Dribbles%;SCA/90;GCA/90;Aerial%;Points/90;xGA;OG;PSxG;PSxG/SoT;PSxG+/-;GA;GA/90;Save%;CS%;SoTA/90;SoTA/GA;SoT/G;G-xG;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;xA/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;xGA/90;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90;MP_Squad
Alemão;Portimonense;BRA;DF;20;5;363;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Primeira Liga;0;0.00;0.00;85.7;96.3;91.1;61.5;0.0;1.8;1.2;1.2;3.4;4.8;59.4;0.0;0;0.50;0.00;50.0;0.80;9.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;41.8;48.8;15.8;20.4;4.8;792.8;335.4;0.0;0.0;2.0;0.0;0.0;2.2;1.98;4.0;1.0;0.4;1.8;-9.9;-1.98;34
Anderson;Portimonense;BRA;FW,MF;24;6;376;0;0;0;0.5;1.0;0.0;0.0;0.0;0.12;0.24;Primeira Liga;9;2.15;0.72;79.3;90.1;78.9;70.0;-1.0;0.0;0.83;0.0;0.33;0.17;30.67;1.5;50.0;4.55;0.00;14.3;1.17;4.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.5;18.5;23.33;10.67;5.0;1.17;256.67;76.5;0.05;1.33;1.67;1.0;0.5;2.67;0.82;3.83;0.67;1.0;0.17;-4.4;-0.7;34
Wilinton Aponzá;Portimonense;COL;MF;23;1;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Primeira Liga;0;0.00;0.00;100.0;100.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0.00;0.00;100.0;0.00;0.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;34
Yago Cariello;Portimonense;BRA;FW;23;25;1372;3;3;1;5.9;1.1;0.2;0.2;0.07;0.39;0.07;Primeira Liga;43;2.82;0.98;61.6;71.8;57.1;50.0;-0.1;0.24;0.56;0.08;0.52;0.72;19.04;0.32;33.3;1.97;0.20;45.5;1.00;21.8;0;0;0;0;0;0;0.0;0;0.0;0.0;5.0;-2.9000000000000004;6.88;11.16;4.48;1.6;0.2;84.92;11.96;0.02;0.68;0.48;0.08;0.0;0.36;0.87;1.44;1.2;1.16;2.24;-15.9;-0.48;34
Carlinhos;Portimonense;BRA;MF;28;9;683;0;0;0;0.4;0.9;0.0;0.0;0.0;0.05;0.12;Primeira Liga;13;1.71;0.40;83.7;90.0;90.0;64.4;-0.9;1.0;0.89;0.11;1.33;0.56;54.22;1.11;43.5;2.24;0.26;33.3;0.89;14.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.4;38.22;45.67;17.0;16.0;4.22;692.22;244.11;0.11;1.11;5.56;0.78;0.0;6.44;1.58;4.33;1.44;0.89;0.11;-13.799999999999999;-1.53;34
Sérgio Conceição;Portimonense;POR;DF,FW;26;4;120;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Primeira Liga;0;0.00;0.00;69.4;84.6;78.6;22.2;0.0;0.5;0.75;0.0;0.5;0.5;23.0;0.0;0.0;0.75;0.00;0.0;0.25;3.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;14.75;21.25;8.25;5.5;0.5;227.25;80.25;0.0;0.0;0.5;0.0;0.0;1.5;0.75;1.75;0.25;0.5;0.0;-3.0;-0.75;34
Gonçalo Costa;Portimonense;POR;DF,FW;23;9;230;0;0;0;0.0;0.4;0.0;0.0;0.0;0.0;0.15;Primeira Liga;0;0.00;0.00;64.7;83.0;63.4;46.7;-0.4;0.44;0.33;0.78;1.56;0.33;17.33;0.22;25.0;2.34;0.00;75.0;0.67;3.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;8.33;12.89;4.33;2.89;0.78;132.0;61.78;0.02;0.56;1.0;0.33;0.33;1.33;0.39;2.11;0.67;0.22;0.33;-3.5;-0.39;34
Lamine Diaby;Portimonense;FRA;MF;26;25;1411;1;1;0;1.2;0.4;0.06;0.06;0.0;0.07;0.03;Primeira Liga;17;1.08;0.26;82.1;84.7;90.3;72.2;-0.4;0.68;0.64;0.84;2.16;1.84;30.44;1.08;71.1;1.28;0.13;63.5;0.84;30.8;0;0;0;0;0;0;0.0;0;0.0;0.0;4.0;-0.19999999999999996;18.16;22.12;6.44;9.28;2.08;351.4;96.8;0.01;0.28;1.72;0.12;0.0;2.04;1.23;4.56;1.36;0.88;1.6;-29.6;-1.16;34
Paulo Estrela Moreira;Portimonense;POR;MF;24;26;1510;2;1;1;1.9;2.6;0.12;0.06;0.06;0.11;0.16;Primeira Liga;9;0.54;0.18;78.4;84.7;85.9;63.8;-1.6;0.73;0.96;1.35;2.85;1.08;39.5;0.08;50.0;3.39;0.18;59.1;1.04;26.6;0;0;0;0;0;0;0.0;0;0.0;0.0;3.0;0.10000000000000009;25.96;33.12;8.96;11.69;4.88;534.42;172.92;0.12;1.38;3.12;0.35;0.23;3.46;1.02;3.62;1.04;0.46;0.5;-24.700000000000003;-0.91;34
Ewerton;Portimonense;BRA;MF;30;12;582;1;1;1;1.0;0.3;0.15;0.15;0.15;0.16;0.05;Primeira Liga;9;1.39;0.77;79.4;86.8;80.7;58.3;0.7;1.0;0.5;0.25;1.75;0.33;23.25;0.25;30.0;2.01;0.15;11.8;1.58;6.0;0;0;0;0;0;0;0.0;0;0.0;0.0;5.0;0.0;14.17;17.83;7.67;5.58;0.58;223.25;54.42;0.03;0.42;1.25;0.33;0.08;1.75;0.5;2.92;0.83;0.67;0.17;-5.0;-0.33999999999999997;34
Rui Gomes;Portimonense;POR;MF,FW;25;30;1073;1;1;1;1.4;3.2;0.08;0.08;0.08;0.12;0.27;Primeira Liga;23;1.93;0.67;68.4;84.2;72.5;42.9;-2.2;0.3;0.47;0.33;0.9;0.3;19.67;0.97;44.6;4.37;0.34;38.5;0.93;19.3;0;0;0;0;0;0;0.0;0;0.0;0.0;8.0;-0.3999999999999999;9.4;13.73;4.63;3.43;0.8;149.43;43.3;0.11;0.87;0.8;0.6;0.2;1.5;0.64;2.27;0.73;0.33;0.33;-17.900000000000002;-0.52;34
Yony González;Portimonense;COL;FW,MF;28;16;969;0;0;1;0.6;1.0;0.0;0.0;0.09;0.06;0.09;Primeira Liga;11;1.02;0.28;74.4;83.3;73.2;43.8;0.0;0.62;0.56;0.25;1.0;0.75;22.0;0.81;35.1;2.13;0.00;48.1;0.88;19.8;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.6;11.06;14.88;6.56;3.25;0.44;154.31;33.62;0.04;0.81;0.56;0.5;0.06;1.31;1.24;2.62;0.62;0.88;0.81;-19.2;-1.18;34
Park Ji-soo;Portimonense;KOR;DF;28;14;1200;0;0;1;0.1;0.6;0.0;0.0;0.07;0.01;0.04;Primeira Liga;2;0.15;0.07;81.2;91.3;89.9;52.0;0.4;1.43;1.07;0.43;2.29;3.86;55.93;0.14;50.0;0.75;0.07;62.2;0.79;26.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;38.57;47.5;11.93;21.71;4.71;781.64;316.07;0.04;0.14;2.0;0.14;0.0;2.36;1.87;4.64;0.21;1.07;2.0;-26.099999999999998;-1.86;34
Henrique Jocú;Portimonense;POR;MF,FW;21;14;458;0;0;0;0.0;0.5;0.0;0.0;0.0;0.01;0.09;Primeira Liga;1;0.20;0.00;80.4;84.8;85.9;65.8;-0.5;0.36;0.43;0.5;1.43;0.36;19.14;0.0;0.0;1.38;0.20;75.0;1.14;7.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;12.57;15.64;4.79;5.64;1.79;243.0;44.0;0.02;0.21;0.36;0.21;0.21;0.57;0.51;2.5;0.43;0.29;0.43;-7.1;-0.5;34
Welinton Júnior;Portimonense;BRA;FW;29;24;2060;6;5;0;8.9;2.2;0.26;0.22;0.0;0.39;0.09;Primeira Liga;93;4.06;1.22;69.0;78.8;76.5;65.2;-2.2;0.29;0.42;0.25;1.0;0.29;31.38;1.04;34.7;2.23;0.17;25.6;1.17;31.6;0;0;0;0;0;0;0.0;0;0.0;0.0;5.6;-2.9000000000000004;11.67;16.92;6.5;3.79;0.62;166.12;38.42;0.06;0.5;1.33;0.5;0.12;2.04;1.32;2.58;1.54;2.12;0.83;-22.700000000000003;-0.93;34
Gustavo Klismahn;Portimonense;BRA;MF;23;15;699;0;0;1;0.4;0.5;0.0;0.0;0.13;0.06;0.06;Primeira Liga;5;0.64;0.00;72.9;83.0;77.9;35.7;0.5;0.53;0.73;0.2;1.2;0.53;21.27;0.2;27.3;1.03;0.13;53.3;0.73;16.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.4;11.47;15.73;6.2;4.0;0.67;167.6;55.47;0.03;0.2;1.13;0.27;0.2;1.13;1.07;3.07;1.67;0.47;0.53;-15.700000000000001;-1.01;34
Lucão;Portimonense;BRA;DF;30;7;530;0;0;0;0.2;0.0;0.0;0.0;0.0;0.03;0.0;Primeira Liga;2;0.34;0.17;84.4;93.4;92.8;54.0;0.0;0.57;0.57;0.43;1.29;3.14;48.29;0.0;0;0.51;0.00;72.7;1.29;10.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;35.57;42.14;8.14;22.0;4.86;746.43;247.86;0.0;0.0;1.43;0.0;0.0;1.29;1.43;5.57;0.57;0.29;2.29;-9.8;-1.4;34
Luquinha;Portimonense;BRA;MF,FW;22;17;1170;2;1;1;1.9;1.8;0.15;0.08;0.08;0.15;0.14;Primeira Liga;16;1.23;0.31;77.4;85.0;83.8;48.1;-0.8;0.71;1.24;0.06;1.06;0.18;38.35;0.65;50.0;4.38;0.23;41.7;1.18;15.7;0;0;0;0;0;0;0.0;0;0.0;0.0;4.0;0.10000000000000009;24.0;31.0;12.71;8.53;1.47;365.35;109.82;0.12;1.65;3.18;0.94;0.24;4.0;0.92;4.35;1.53;1.0;0.59;-13.799999999999999;-0.77;34
Ricardo Matos;Portimonense;POR;FW,MF;23;15;295;1;1;0;2.0;0.2;0.31;0.31;0.0;0.61;0.07;Primeira Liga;9;2.75;0.31;69.8;71.4;66.7;100.0;-0.2;0.13;0.0;0.0;0.13;0.07;5.2;0.2;100.0;2.14;0.31;4.3;0.40;7.9;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;-1.0;2.47;3.53;1.33;0.8;0.13;35.73;5.4;0.01;0.13;0.13;0.07;0.0;0.2;0.53;0.93;0.4;0.2;0.07;-5.9;0.07999999999999996;34
